Weather,Speed,Traffic,Road,Risk
Sunny,33,High,Wet,Medium
Rainy,58,Low,Wet,Medium
Sunny,105,Medium,Dry,High
Sunny,41,Low,Dry,Low
Sunny,101,Low,Wet,High
Rainy,87,High,Wet,High
Sunny,50,High,Wet,Medium
Fog,65,Low,Wet,Medium
Fog,43,Low,Wet,Medium
Fog,74,High,Wet,High
Sunny,88,High,Dry,High
Cloudy,40,High,Wet,Medium
Fog,103,Low,Wet,High
Sunny,114,Low,Wet,High
Sunny,59,Low,Wet,Medium
Fog,88,High,Dry,High
Fog,75,Low,Wet,High
Sunny,107,High,Dry,High
Rainy,50,Medium,Wet,Medium
Rainy,117,Medium,Dry,High
Rainy,34,Medium,Wet,Medium
Sunny,57,High,Wet,Medium
Rainy,113,Medium,Wet,High
Cloudy,48,Medium,Dry,Medium
Rainy,101,High,Wet,High
Cloudy,104,Medium,Wet,High
Rainy,47,High,Wet,High
Sunny,44,Low,Dry,Low
Cloudy,106,Low,Wet,High
Cloudy,106,Medium,Wet,High
Sunny,117,High,Dry,High
Fog,112,Medium,Wet,High
Cloudy,50,Medium,Dry,Medium
Fog,94,Low,Wet,High
Sunny,110,Medium,Dry,High
Rainy,77,Low,Wet,High
Sunny,106,Medium,Wet,High
Sunny,44,Medium,Wet,Medium
Rainy,37,Low,Dry,Low
Sunny,92,Low,Dry,High
Rainy,114,Medium,Dry,High
Fog,97,High,Wet,High
Rainy,99,High,Wet,High
Fog,81,High,Wet,High
Cloudy,96,Medium,Dry,High
Rainy,58,Low,Wet,Medium
Rainy,105,Low,Wet,High
Sunny,59,Low,Dry,Medium
Fog,39,High,Wet,Medium
Cloudy,57,High,Dry,Medium
Cloudy,61,Medium,Wet,Medium
Rainy,42,Low,Wet,Medium
Fog,84,Medium,Wet,High
Sunny,116,High,Dry,High
Sunny,81,High,Wet,High
Sunny,61,Low,Dry,Medium
Cloudy,47,Medium,Dry,Medium
Fog,89,Low,Dry,High
Cloudy,100,Low,Dry,High
Sunny,41,Low,Dry,Low
Cloudy,92,Medium,Dry,High
Cloudy,37,Low,Wet,Medium
Sunny,79,Medium,Wet,High
Fog,84,High,Wet,High
Rainy,54,Medium,Wet,Medium
Sunny,104,High,Dry,High
Fog,37,Low,Wet,Medium
Rainy,37,High,Wet,High
Rainy,38,High,Wet,High
Rainy,81,Low,Dry,High
Sunny,109,Low,Wet,High
Fog,63,Low,Wet,Medium
Fog,60,Medium,Wet,Medium
Fog,88,Medium,Dry,High
Sunny,88,High,Dry,High
Sunny,98,Low,Wet,High
Rainy,74,Low,Wet,High
Fog,50,Medium,Wet,Medium
Sunny,115,High,Wet,High
Sunny,47,Medium,Dry,Medium
Sunny,100,Low,Wet,High
Fog,107,Low,Wet,High
Rainy,117,High,Wet,High
Fog,36,Low,Wet,Medium
Fog,35,Low,Wet,Medium
Rainy,111,Medium,Wet,High
Cloudy,100,High,Wet,High
Sunny,44,Low,Dry,Low
Sunny,77,High,Dry,Medium
Cloudy,46,Low,Wet,Medium
Fog,35,Medium,Wet,Medium
Rainy,115,Low,Wet,High
Cloudy,109,High,Dry,High
Rainy,50,Low,Dry,Medium
Rainy,72,Medium,Dry,Medium
Fog,50,High,Wet,Medium
Sunny,90,Low,Dry,High
Cloudy,74,Medium,Dry,Medium
Rainy,33,High,Wet,High
Fog,65,Low,Wet,Medium
Fog,112,High,Wet,High
Fog,33,Low,Wet,Medium
Rainy,104,Medium,Wet,High
Cloudy,74,High,Wet,High
Cloudy,107,High,Dry,High
Cloudy,103,Low,Wet,High
Sunny,120,Medium,Dry,High
Rainy,76,Medium,Wet,High
Fog,109,Medium,Wet,High
Sunny,68,High,Wet,Medium
Cloudy,71,Medium,Wet,High
Rainy,54,Medium,Wet,Medium
Cloudy,116,High,Dry,High
Fog,81,High,Wet,High
Fog,56,Medium,Wet,Medium
Fog,89,Medium,Wet,High
Rainy,95,Medium,Wet,High
Rainy,114,Low,Wet,High
Fog,41,Low,Wet,Medium
Rainy,55,Low,Wet,Medium
Rainy,90,High,Dry,High
Cloudy,83,High,Dry,High
Cloudy,93,Medium,Dry,High
Rainy,113,High,Wet,High
Sunny,84,Low,Dry,High
Cloudy,36,High,Dry,Medium
Sunny,88,Low,Wet,High
Fog,86,High,Wet,High
Cloudy,50,High,Wet,Medium
Cloudy,63,Low,Wet,Medium
Cloudy,110,Low,Wet,High
Cloudy,39,High,Wet,Medium
Rainy,64,Medium,Wet,Medium
Sunny,47,Low,Dry,Low
Cloudy,118,Low,Dry,High
Sunny,83,Medium,Wet,High
Cloudy,83,Low,Dry,High
Cloudy,79,High,Dry,Medium
Cloudy,91,Low,Wet,High
Fog,79,Medium,Wet,High
Rainy,92,Low,Wet,High
Cloudy,33,Medium,Wet,Medium
Cloudy,51,Medium,Dry,Medium
Sunny,80,High,Dry,Medium
Sunny,112,Medium,Dry,High
Cloudy,53,Low,Wet,Medium
Cloudy,71,Low,Wet,High
Fog,73,Medium,Wet,High
Cloudy,62,Low,Wet,Medium
Sunny,99,Low,Wet,High
Rainy,113,Low,Wet,High
Sunny,33,Low,Dry,Low
Sunny,109,Low,Dry,High
Rainy,90,High,Wet,High
Rainy,89,High,Wet,High
Fog,51,High,Wet,Medium
Sunny,50,Medium,Dry,Medium
Sunny,69,High,Wet,Medium
Cloudy,55,Low,Dry,Medium
Sunny,119,Medium,Dry,High
Sunny,74,High,Wet,High
Fog,38,High,Wet,Medium
Sunny,83,Medium,Dry,High
Cloudy,76,High,Wet,High
Rainy,85,Low,Wet,High
Fog,108,High,Wet,High
Cloudy,85,High,Wet,High
Fog,61,Low,Wet,Medium
Cloudy,61,Medium,Wet,Medium
Fog,33,Medium,Dry,Medium
Cloudy,57,Medium,Wet,Medium
Fog,65,High,Wet,Medium
Fog,101,Low,Wet,High
Rainy,40,Low,Wet,Medium
Cloudy,101,Low,Wet,High
Cloudy,87,Low,Dry,High
Fog,58,Medium,Wet,Medium
Fog,114,High,Wet,High
Fog,84,High,Wet,High
Fog,119,Medium,Wet,High
Fog,59,Low,Wet,Medium
Fog,45,High,Wet,Medium
Rainy,54,Low,Wet,Medium
Fog,105,High,Wet,High
Sunny,54,Medium,Dry,Medium
Fog,52,Medium,Wet,Medium
Rainy,65,Low,Wet,Medium
Rainy,111,Medium,Wet,High
Sunny,103,Medium,Wet,High
Cloudy,86,Medium,Dry,High
Sunny,62,Medium,Dry,Medium
Sunny,81,Medium,Dry,High
Sunny,49,Low,Wet,Medium
Sunny,61,Low,Wet,Medium
Rainy,96,Medium,Wet,High
Cloudy,68,High,Wet,Medium
Fog,102,High,Wet,High
Sunny,56,High,Dry,Medium
Fog,114,Low,Wet,High
Rainy,100,Low,Wet,High
Cloudy,87,High,Wet,High
Fog,34,Low,Wet,Medium
Fog,119,Medium,Wet,High
Rainy,63,High,Wet,High
Rainy,84,Low,Wet,High
Rainy,64,Low,Wet,Medium
Rainy,69,High,Wet,High
Fog,86,Low,Wet,High
Fog,119,Medium,Wet,High
Cloudy,40,High,Dry,Medium
Cloudy,71,High,Wet,High
Sunny,41,Low,Dry,Low
Fog,103,Low,Wet,High
Rainy,90,High,Wet,High
Fog,53,High,Wet,Medium
Cloudy,41,Medium,Wet,Medium
Cloudy,72,Medium,Dry,Medium
Rainy,72,Medium,Wet,High
Fog,114,Medium,Dry,High
Cloudy,41,Medium,Wet,Medium
Fog,44,Medium,Dry,Medium
Cloudy,82,Low,Dry,High
Fog,109,Medium,Wet,High
Sunny,56,Medium,Dry,Medium
Fog,86,High,Wet,High
Sunny,110,High,Dry,High
Rainy,69,High,Wet,High
Cloudy,41,Low,Dry,Low
Cloudy,45,High,Dry,Medium
Cloudy,67,High,Wet,Medium
Cloudy,91,Medium,Dry,High
Cloudy,100,Low,Wet,High
Rainy,106,High,Wet,High
Rainy,38,Medium,Wet,Medium
Cloudy,73,High,Wet,High
Sunny,66,High,Wet,Medium
Cloudy,49,Medium,Wet,Medium
Fog,72,High,Wet,High
Cloudy,88,Medium,Dry,High
Rainy,103,Medium,Wet,High
Cloudy,35,Medium,Wet,Medium
Cloudy,79,High,Dry,Medium
Cloudy,34,Low,Wet,Medium
Sunny,86,Low,Wet,High
Sunny,48,Medium,Dry,Medium
Sunny,90,Medium,Wet,High
Cloudy,113,Low,Wet,High
Cloudy,70,High,Wet,Medium
Sunny,109,Low,Dry,High
Fog,59,High,Wet,Medium
Sunny,111,High,Dry,High
Cloudy,51,High,Wet,Medium
Sunny,35,Medium,Dry,Medium
Fog,75,Medium,Wet,High
Rainy,97,Medium,Wet,High
Rainy,51,Low,Wet,Medium
Cloudy,109,High,Dry,High
Cloudy,104,Low,Dry,High
Cloudy,111,Medium,Wet,High
Fog,115,Low,Wet,High
Fog,116,High,Wet,High
Cloudy,74,High,Wet,High
Cloudy,118,Medium,Wet,High
Fog,55,Medium,Dry,Medium
Rainy,78,High,Wet,High
Fog,119,Medium,Wet,High
Cloudy,65,Low,Dry,Medium
Cloudy,66,Low,Wet,Medium
Rainy,111,Low,Wet,High
Rainy,110,Low,Dry,High
Fog,86,Low,Wet,High
Rainy,41,Medium,Wet,Medium
Cloudy,52,Low,Dry,Medium
Fog,97,High,Dry,High
Fog,91,Medium,Wet,High
Fog,44,Medium,Dry,Medium
Rainy,116,High,Wet,High
Cloudy,101,Medium,Dry,High
Cloudy,31,Medium,Dry,Medium
Cloudy,77,High,Wet,High
Cloudy,111,Medium,Dry,High
Rainy,90,Low,Wet,High
Fog,108,Low,Wet,High
Cloudy,119,Medium,Wet,High
Sunny,47,Low,Dry,Low
Fog,93,Low,Wet,High
Rainy,79,Medium,Wet,High
Cloudy,105,High,Dry,High
Cloudy,113,Low,Wet,High
Cloudy,65,Low,Wet,Medium
Rainy,86,Medium,Wet,High
Sunny,117,Medium,Wet,High
Sunny,80,Medium,Dry,Medium
Sunny,88,Low,Dry,High
Sunny,36,Medium,Dry,Medium
Rainy,102,Low,Wet,High
Rainy,105,Low,Dry,High
Fog,48,High,Wet,Medium
Rainy,46,High,Wet,High
Rainy,44,High,Dry,High
Sunny,75,Low,Wet,High
Sunny,52,Medium,Dry,Medium
Rainy,83,High,Wet,High
Sunny,90,Medium,Wet,High
Sunny,87,High,Dry,High
Sunny,114,High,Wet,High
Cloudy,112,Low,Dry,High
Cloudy,81,Medium,Dry,High
Cloudy,86,Low,Dry,High
Fog,107,Low,Wet,High
Fog,109,High,Wet,High
Fog,78,High,Wet,High
Cloudy,94,High,Wet,High
Sunny,119,Low,Dry,High
Cloudy,87,Low,Wet,High
Fog,88,Medium,Wet,High
Sunny,70,Medium,Wet,Medium
Fog,77,Low,Wet,High
Cloudy,38,Low,Dry,Low
Sunny,85,Low,Wet,High
Rainy,101,Low,Wet,High
Fog,115,Low,Wet,High
Cloudy,36,Medium,Wet,Medium
Fog,43,High,Wet,Medium
Rainy,114,Medium,Wet,High
Sunny,74,High,Wet,High
Sunny,65,High,Dry,Medium
Cloudy,101,High,Dry,High
Fog,33,Low,Wet,Medium
Fog,73,Medium,Wet,High
Rainy,102,High,Wet,High
Rainy,111,Low,Wet,High
Rainy,78,Medium,Wet,High
Rainy,77,Medium,Wet,High
Sunny,36,Low,Dry,Low
Sunny,116,Low,Wet,High
Cloudy,114,Medium,Wet,High
Cloudy,83,Medium,Dry,High
Sunny,74,Medium,Dry,Medium
Fog,116,High,Wet,High
Fog,35,Low,Wet,Medium
Sunny,30,Low,Wet,Medium
Rainy,47,Medium,Wet,Medium
Sunny,30,Medium,Wet,Medium
Rainy,46,Medium,Wet,Medium
Rainy,94,High,Wet,High
Sunny,80,High,Dry,Medium
Cloudy,32,Medium,Dry,Medium
Fog,103,Medium,Wet,High
Cloudy,67,Low,Wet,Medium
Sunny,71,Low,Wet,High
Fog,41,Medium,Dry,Medium
Cloudy,105,Medium,Dry,High
Cloudy,69,High,Wet,Medium
Rainy,72,Low,Wet,High
Sunny,97,High,Dry,High
Fog,74,High,Dry,Medium
Rainy,43,Low,Wet,Medium
Rainy,107,Low,Wet,High
Sunny,52,High,Wet,Medium
Cloudy,102,High,Wet,High
Fog,110,Medium,Wet,High
Sunny,90,Medium,Wet,High
Fog,105,Low,Wet,High
Sunny,69,Medium,Wet,Medium
Sunny,37,Medium,Wet,Medium
Sunny,112,Low,Wet,High
Cloudy,104,High,Dry,High
Cloudy,103,High,Dry,High
Fog,107,Medium,Wet,High
Sunny,87,Low,Wet,High
Sunny,94,High,Dry,High
Sunny,61,High,Wet,Medium
Cloudy,97,High,Dry,High
Fog,77,Medium,Wet,High
Fog,116,High,Wet,High
Fog,38,Medium,Wet,Medium
Cloudy,66,Medium,Dry,Medium
Fog,40,High,Wet,Medium
Fog,69,High,Wet,Medium
Cloudy,46,High,Dry,Medium
Fog,101,Medium,Wet,High
Fog,46,High,Wet,Medium
Sunny,112,High,Wet,High
Fog,32,Medium,Wet,Medium
Rainy,73,Medium,Wet,High
Rainy,49,Low,Wet,Medium
Sunny,94,High,Dry,High
Fog,109,Low,Wet,High
Rainy,50,Low,Dry,Medium
Cloudy,35,Medium,Wet,Medium
Rainy,86,High,Wet,High
